Pos,Name,BV,SV,Team,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
G,Leno,5.0,5.0,Arsenal,88,3.321,87,3.106,86,4.018,86,3.788,86,3.531,85,3.506
G,Rúnarsson,4.0,4.0,Arsenal,0,0,2,0.071,2,0.093,2,0.088,2,0.082,2,0.082
M,Willian,6.4,6.4,Arsenal,7,0.284,4,0.15,5,0.318,6,0.319,5,0.257,7,0.335
F,Aubameyang,9.9,9.9,Arsenal,53,2.158,72,2.767,72,4.744,75,3.957,72,3.703,73,3.488
D,Cédric,4.5,4.5,Arsenal,4,0.112,4,0.076,5,0.24,4,0.163,7,0.249,8,0.277
F,Lacazette,8.4,8.4,Arsenal,39,1.608,59,2.236,59,3.873,57,3.041,56,2.912,58,2.806
M,Xhaka,5.0,5.0,Arsenal,85,2.176,81,1.943,76,2.678,77,2.361,73,2.153,72,2.079
D,Marí,4.5,4.5,Arsenal,47,1.251,36,0.621,33,1.581,35,1.419,40,1.378,39,1.313
D,Bellerín,4.9,4.9,Arsenal,49,1.328,47,0.821,47,2.314,44,1.83,44,1.555,45,1.541
D,Chambers,4.5,4.5,Arsenal,43,1.243,41,0.778,40,2.136,45,1.988,43,1.618,43,1.557
D,Kolasinac,4.5,4.5,Arsenal,1,0.028,2,0.038,3,0.15,5,0.206,5,0.179,6,0.206
M,Elneny,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
M,Maitland-Niles,5.5,5.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
D,Holding,4.5,4.5,Arsenal,45,1.2,66,1.123,62,2.979,66,2.67,60,2.076,60,2.026
M,Partey,5.0,5.0,Arsenal,6,0.162,24,0.62,68,2.553,68,2.201,65,2.026,70,2.1
D,Tierney,5.0,5.0,Arsenal,86,2.467,84,1.555,83,4.424,80,3.576,80,3.045,77,2.841
M,Pépé,7.4,7.4,Arsenal,73,3.163,68,2.595,66,4.508,64,3.522,66,3.462,63,3.092
M,Torreira,4.5,4.5,Arsenal,4,0.12,4,0.115,1,0.036,1,0.033,3,0.096,2,0.063
M,Willock,6.0,6.0,Newcastle,61,2.253,60,2.482,63,1.967,57,2.366,59,2.265,59,2.16
F,Nketiah,5.5,5.5,Arsenal,0,0,0,0,0,0,0,0,1,0.062,0,0
M,Smith Rowe,5.5,5.5,Arsenal,68,2.501,63,2.114,63,3.413,59,2.677,59,2.568,58,2.385
M,Saka,6.5,6.5,Arsenal,58,2.361,51,1.887,53,3.308,53,2.717,52,2.55,53,2.433
D,Gabriel,5.0,5.0,Arsenal,29,0.792,28,0.496,27,1.301,27,1.1,26,0.908,26,0.884
D,Mavropanos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
M,Guendouzi,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,5.5,5.5,Arsenal,36,1.503,27,1.045,27,1.761,28,1.472,30,1.509,29,1.389
D,Saliba,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
G,Steer,4.0,4.0,Aston Villa,0,0,0,0,1,0.035,1,0.041,1,0.035,2,0.072
M,Hourihane,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
G,Martínez,5.5,5.5,Aston Villa,89,3.933,88,3.769,87,3.134,87,3.665,87,3.162,86,3.187
D,Engels,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
M,Traoré,6.0,6.0,Aston Villa,22,1.207,19,1.014,20,0.732,22,1.106,21,0.821,24,0.98
M,Grealish,8.0,8.0,Man City,67,4.881,56,3.48,54,2.823,54,3.783,52,2.251,51,2.355
M,Sanson,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
M,McGinn,6.0,6.0,Aston Villa,85,3.245,80,2.996,80,2.147,77,2.745,77,2.199,76,2.286
D,Hause,4.5,4.5,Aston Villa,1,0.04,3,0.117,4,0.07,6,0.215,8,0.149,8,0.191
M,Trézéguet,5.5,5.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
D,Mings,5.0,5.0,Aston Villa,89,3.566,86,3.179,84,1.287,84,2.847,82,1.336,82,1.773
D,Targett,5.0,5.0,Aston Villa,87,3.533,83,3.137,82,1.308,82,2.87,80,1.361,80,1.792
F,Watkins,7.5,7.5,Aston Villa,36,1.932,52,2.717,52,1.852,49,2.44,48,1.868,47,1.911
M,Nakamba,4.5,4.5,Aston Villa,45,1.412,30,0.952,29,0.779,30,0.928,34,0.922,32,0.894
M,El Ghazi,6.0,6.0,Aston Villa,52,3.153,49,2.918,47,1.778,48,2.659,51,2.066,49,2.142
M,Buendía,6.5,6.5,Aston Villa,73,3.73,71,3.538,70,2.27,69,3.223,68,2.387,67,2.491
D,Cash,5.0,5.0,Aston Villa,87,3.648,84,3.279,81,1.316,82,2.949,82,1.429,79,1.813
D,Konsa,5.0,5.0,Aston Villa,88,3.517,86,3.204,85,1.38,84,2.902,81,1.393,81,1.817
D,Guilbert,4.5,4.5,Aston Villa,2,0.08,5,0.188,7,0.118,7,0.243,6,0.108,9,0.206
F,Wesley,5.5,5.5,Aston Villa,13,0.738,10,0.561,11,0.435,9,0.484,11,0.467,11,0.488
F,Samatta,5.5,5.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
F,Davis,4.5,4.5,Aston Villa,0,0,1,0.053,2,0.078,3,0.152,3,0.124,3,0.129
M,Douglas Luiz,4.5,4.5,Aston Villa,41,1.337,72,2.282,70,1.743,70,2.136,68,1.758,70,1.876
M,Ramsey,4.5,4.5,Aston Villa,15,0.621,12,0.564,13,0.399,17,0.626,17,0.535,17,0.554
D,Young,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
M,Lallana,5.5,5.5,Brighton,44,2.024,46,1.936,44,1.756,41,1.615,41,1.681,41,1.671
G,Steele,4.0,4.0,Brighton,0,0,0,0,0,0,1,0.041,0,0,3,0.127
M,Groß,6.0,6.0,Brighton,81,4.535,78,4.032,71,3.456,71,3.389,67,3.314,68,3.374
D,Duffy,4.0,4.0,Brighton,64,3.31,42,1.802,32,1.221,33,1.212,28,1.239,33,1.28
M,Pröpper,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
D,Burn,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
D,Dunk,5.0,5.0,Brighton,88,4.71,87,3.845,86,3.363,82,3.055,82,3.726,79,3.134
M,March,5.5,5.5,Brighton,83,3.222,81,2.891,81,2.788,77,2.651,76,2.725,75,2.661
D,Webster,4.5,4.5,Brighton,86,4.12,83,3.263,82,2.886,82,2.798,79,3.257,79,2.832
D,Veltman,4.5,4.5,Brighton,48,2.292,77,3.008,74,2.581,72,2.427,72,2.927,69,2.428
F,Maupay,6.5,6.5,Brighton,82,4.151,79,3.739,76,3.465,73,3.29,71,3.264,74,3.469
M,Trossard,6.5,6.5,Brighton,70,3.517,70,3.177,66,2.899,63,2.734,61,2.721,62,2.808
G,Ryan,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
M,Jahanbakhsh,5.5,5.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
D,White,4.5,4.5,Arsenal,86,2.211,81,1.317,82,3.812,78,3.076,77,2.57,77,2.526
D,Bernardo,4.0,4.0,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
G,Sánchez,4.5,4.5,Brighton,89,4.344,88,3.918,88,3.752,86,3.629,86,3.93,85,3.657
M,Bissouma,4.5,4.5,Brighton,86,2.891,82,2.554,80,2.446,81,2.448,79,2.536,76,2.358
D,Lamptey,4.5,4.5,Brighton,0,0,0,0,28,1.017,54,1.894,68,2.873,70,2.6
F,Connolly,5.5,5.5,Brighton,48,2.456,52,2.501,41,1.928,36,1.7,31,1.503,27,1.335
M,Alzate,5.0,5.0,Brighton,1,0.04,1,0.037,2,0.074,2,0.072,7,0.262,1,0.037
M,Mac Allister,5.5,5.5,Brighton,36,1.633,35,1.462,34,1.36,28,1.146,26,1.114,26,1.102
M,Moder,4.5,4.5,Brighton,1,0.041,1,0.038,2,0.074,0,0,1,0.038,1,0.037
D,Jansson,4.5,4.5,Brentford,88,3.113,84,2.167,83,2.905,83,2.54,82,1.637,80,1.882
M,Nørgaard,5.0,5.0,Brentford,85,2.602,81,2.363,78,2.452,78,2.331,78,2.145,78,2.221
F,Toney,6.5,6.5,Brentford,86,4.333,82,4.25,82,4.334,80,3.905,79,3.447,77,3.69
M,Fosu,5.4,5.4,Brentford,6,0.256,6,0.257,5,0.221,7,0.292,7,0.271,7,0.286
G,Raya,4.5,4.5,Brentford,89,3.777,87,3.257,87,3.645,87,3.432,87,3.118,86,3.165
M,Canós,5.5,5.5,Brentford,44,1.979,49,2.048,48,2.112,45,1.852,45,1.689,47,1.859
M,Dasilva,5.5,5.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0
D,Henry,4.5,4.5,Brentford,59,2.262,55,1.566,53,2.018,54,1.788,55,1.227,53,1.378
M,Janelt,5.0,5.0,Brentford,79,2.329,77,2.173,77,2.305,74,2.138,74,1.974,72,1.996
M,Ghoddos,5.5,5.5,Brentford,44,1.803,44,1.774,45,1.891,43,1.707,46,1.651,43,1.662
M,Jensen,5.0,5.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0
